text,label
Should I focus on revising the subjects I’m weakest at for the exam?,Exam
I need to organize my study materials for the exam.,Exam
How do I stay calm during an exam?,Exam
How do I break down a long exam into manageable sections?,Exam
Attending crash courses for exam revision.,Exam
How do I make a study plan for the upcoming exam?,Exam
How do I prepare for an oral exam?,Exam
What are the best study techniques for an upcoming exam?,Exam
Can I reschedule my exam if I’m sick?,Exam
Should I review the textbook before the exam?,Exam
What should I focus on the night before the exam?,Exam
Should I take breaks while studying for the exam?,Exam
What are some strategies for answering multiple-choice questions in an exam?,Exam
How do I approach a challenging exam question?,Exam
Are there specific tips for acing a timed exam?,Exam
What should I do if I forget an answer during the exam?,Exam
Trying to finish the syllabus before the exam day.,Exam
How do I stay motivated to study for the exam?,Exam
I’m stressing over this upcoming final exam.,Exam
How do I deal with exam pressure?,Exam
Trying group study for upcoming subject test.,Exam
Solving previous year questions for better exam strategy.,Exam
Do I need to memorize formulas for my math exam?,Exam
What are some common mistakes students make during exams?,Exam
What happens if I miss an exam?,Exam
When should I start studying for the SAT?,Exam
How do I focus better while studying for the exam?,Exam
How do I tackle a case study for my exam?,Exam
What’s the most efficient way to study for a final exam?,Exam
What’s the best way to deal with test anxiety?,Exam
Revising notes for the biology midterm.,Exam
Can I pass my exam if I only study for two days?,Exam
How do I retain all the information for an upcoming exam?,Exam
How do I prevent burnout during exam preparation?,Exam
How do I prepare for this exam that is going to be in 2 weeks?,Exam
What’s the best way to study for a multiple-choice exam?,Exam
How do I balance study and sleep before my exam?,Exam
Is it worth studying the entire textbook for the exam?,Exam
What should I do if I get stuck during the exam?,Exam
Going through past question papers for my economics exam.,Exam
I want to get better at memorizing information for my exam.,Exam
Any advice on handling exam anxiety?,Exam
How should I divide my time between studying and relaxing before the exam?,Exam
Can I use a cheat sheet during this exam?,Exam
How do I prepare for an exam with limited time?,Exam
Should I create a study schedule for my exam?,Exam
Solving sample papers for my upcoming exams.,Exam
Should I focus on understanding concepts or memorization for the exam?,Exam
I should focus on problem-solving strategies for my exam.,Exam
I’m taking a standardized exam; what should I expect?,Exam
What are the best ways to study for a math exam?,Exam
Should I study more with practice questions or review notes?,Exam
How do I calm my nerves before a big exam?,Exam
How do I study for a computer science exam?,Exam
I need to recap all major topics before tomorrow’s exam.,Exam
Can I study the night before my exam and still do well?,Exam
How do I prepare for a final exam in a subject I’m struggling with?,Exam
How do I manage time during a 3-hour exam?,Exam
How do I stay positive during exam preparation?,Exam
I’m not confident about the material for my exam.,Exam
How do I organize my time for exam preparation?,Exam
How can I improve my exam performance?,Exam
What should I focus on for this midterm exam?,Exam
How do I reduce stress before the exam?,Exam
Preparing a timetable to revise all subjects for the final.,Exam
What’s the best way to prepare for an oral exam?,Exam
I need to take a practice exam to see where I stand.,Exam
How can I make my study sessions more effective before the exam?,Exam
Do I need to take practice exams for my upcoming test?,Exam
I need to memorize a lot of content for my upcoming exam.,Exam
I need tips on how to manage my time during the exam.,Exam
Do I need to memorize every single detail for my exam?,Exam
Do I need to memorize all the definitions for the exam?,Exam
Should I study the course material or just focus on practice exams?,Exam
How do I keep calm when I don’t know the answer on an exam?,Exam
Studying for the final chemistry test next week.,Exam
I need to review my notes before the exam.,Exam
I don't understand this concept; it might be on the exam.,Exam
How can I improve my exam technique?,Exam
I’ve got an exam coming up and I need to study!,Exam
I’m going to fail my exam if I don't pass this next test.,Exam
I need to revise all my notes before my exam.,Exam
What are the most common types of questions on this exam?,Exam
Should I use flashcards for my exam?,Exam
I feel like I haven't studied enough for this exam.,Exam
How do I find balance between studying and maintaining mental health?,Exam
Making flashcards to study for tomorrow’s statistics exam.,Exam
Can I still do well on my exam if I don’t have time to review everything?,Exam
How do I revise effectively for my final exam?,Exam
How do I balance studying and taking care of myself before the exam?,Exam
I’m organizing study materials for test prep.,Exam
Can you give me some last-minute exam tips?,Exam
How do I make a study plan for my exam?,Exam
I need help with studying for an oral exam.,Exam
Watching revision videos for my CS exam.,Exam
How do I overcome my fear of taking exams?,Exam
What should I do if I feel exhausted during the exam?,Exam
How do I keep calm during a stressful exam?,Exam
How should I handle stress during my exam?,Exam
What are the best techniques for studying for multiple exams?,Exam
Can I skip studying for a subject if I already know it well?,Exam
How do I handle tough questions in my final exam?,Exam
What are some common mistakes to avoid during an exam?,Exam
Focused on practicing for the physics paper.,Exam
I feel like I’m not ready for this exam.,Exam
How do I handle the pressure during a timed exam?,Exam
Should I focus on weak subjects first when preparing for my exam?,Exam
Working on mock tests to prepare for entrance exams.,Exam
How do I maintain focus during a long exam?,Exam
I need to go over my notes before my final exam.,Exam
How can I improve my test-taking strategies?,Exam
What are common mistakes students make during finals?,Exam
Can I use a calculator during this exam?,Exam
How do I prioritize topics for my exam?,Exam
Trying to memorize history dates for the upcoming quiz.,Exam
Can someone help me with last-minute revision tips for my exam?,Exam
I need to focus on my weak areas before the exam.,Exam
Should I focus on multiple-choice or essay questions for the exam?,Exam
What’s the best strategy for acing a multiple-choice exam?,Exam
I need to make sure I know everything for this exam.,Exam
How do I become proficient at negotiation?,Mastery
I need to get better at public speaking.,Mastery
What are the key steps to mastering a musical instrument?,Mastery
I want to master the skills of critical thinking.,Mastery
How do I improve my understanding of nutrition?,Mastery
How do I become an expert in video editing?,Mastery
I want to improve my social media marketing skills.,Mastery
How do I move from basic knowledge to mastery?,Mastery
How do I become proficient in business development?,Mastery
I want to improve my knowledge of history.,Mastery
I want to become fluent in French.,Mastery
How do I improve my understanding of machine learning algorithms?,Mastery
What’s the best way to master public speaking?,Mastery
I want to learn how to perfect my writing skills.,Mastery
I need to study human psychology more deeply.,Mastery
I need to improve my understanding of calculus.,Mastery
I need to improve my ability to read financial statements.,Mastery
I need to improve my programming skills.,Mastery
I need to practice speaking in public more.,Mastery
How do I learn the piano?,Mastery
I need to increase my understanding of this subject.,Mastery
How do I improve my ability to write essays?,Mastery
Is there a faster way to master this subject?,Mastery
I want to become proficient in video production.,Mastery
How do I improve my writing skills?,Mastery
I want to become proficient in business analytics.,Mastery
How do I deepen my knowledge of the human mind?,Mastery
I want to learn more about data science.,Mastery
I want to be better at time management.,Mastery
How do I improve my research skills?,Mastery
How can I improve my time management skills?,Mastery
I want to master the art of productivity.,Mastery
I want to improve my project management skills.,Mastery
I want to understand marketing better.,Mastery
I want to be able to teach this subject at an advanced level.,Mastery
I want to be more proficient in data visualization.,Mastery
I need to improve my public relations strategies.,Mastery
I need to understand this theory on a deeper level.,Mastery
I want to deepen my understanding of data science techniques.,Mastery
I want to learn more about behavioral economics.,Mastery
How do I deepen my knowledge of cloud computing?,Mastery
How do I become an expert in health and wellness?,Mastery
How do I become more confident when presenting?,Mastery
How do I become an expert in artificial intelligence?,Mastery
Practicing DSA daily to become confident.,Mastery
I want to become an expert in graphic design.,Mastery
I want to improve my understanding of user experience design.,Mastery
I want to be proficient in web development.,Mastery
How do I become an expert in photography?,Mastery
How do I get better at writing persuasive arguments?,Mastery
How do I get better at critical thinking?,Mastery
I need to master emotional intelligence.,Mastery
How do I become a better storyteller?,Mastery
How do I improve my problem-solving abilities?,Mastery
I need to deepen my understanding of advanced mathematics.,Mastery
How can I improve my understanding of advanced chemistry?,Mastery
I need to understand quantum physics better.,Mastery
